date,school,opponent,win_lost,pts,opp
2008-08-30,Houston,Southern,W,55,3
2008-09-13,Houston,Air Force,L,28,31
2008-10-09,Houston,UAB,W,45,20
2008-11-08,Houston,Tulane,W,42,14
2008-11-15,Houston,  Tulsa,W,70,30
2008-11-22,Houston,UTEP,W,42,37
2009-09-05,Houston,Northwestern State,W,55,7
2009-09-26,(17) Houston,Texas Tech,W,29,28
2009-10-24,(17) Houston,SMU,W,38,15
2009-10-31,(15) Houston,Southern Mississippi,W,50,43
2009-11-21,(24) Houston,Memphis,W,55,14
2009-11-28,(25) Houston,Rice,W,73,14
2010-09-04,Houston,Texas State,W,68,28
2010-09-10,Houston,UTEP,W,54,24
2010-09-25,Houston,Tulane,W,42,23
2010-10-09,Houston,Mississippi State,L,24,47
2010-11-05,Houston,UCF,L,33,40
2010-11-13,Houston,Tulsa,L,25,28
2011-09-03,Houston,UCLA,W,38,34
2011-09-24,Houston,Georgia State,W,56,0
2011-10-08,Houston,East Carolina,W,56,3
2011-10-22,(21) Houston,Marshall,W,63,28
2011-10-27,(18) Houston,Rice,W,73,34
2011-11-19,(11) Houston,SMU,W,37,7
2011-12-03,(7) Houston,  Southern Mississippi,L,28,49
2012-09-01,Houston,Texas State,L,13,30
2012-09-08,Houston,Louisiana Tech,L,49,56
2012-10-06,Houston,North Texas,W,44,21
2012-10-13,Houston,UAB,W,39,17
2012-10-27,Houston,UTEP,W,45,35
2012-11-10,Houston,Tulsa,L,7,41
2012-11-24,Houston,Tulane,W,40,17
2013-08-30,Houston,Southern,W,62,13
2013-10-31,Houston,South Florida,W,35,23
2014-08-29,Houston,UTSA,L,7,27
2014-09-06,Houston,Grambling State,W,47,0
2014-09-20,Houston,Nevada-Las Vegas,W,47,14
2014-10-02,Houston,UCF,L,12,17
2014-10-17,Houston,Temple,W,31,10
2014-11-08,Houston,Tulane,L,24,31
2014-11-22,Houston,Tulsa,W,38,28
2015-09-05,Houston,Tennessee Tech,W,52,24
2015-09-26,Houston,Texas State,W,59,14
2015-10-08,Houston,SMU,W,49,28
2015-10-31,(18) Houston,Vanderbilt,W,34,0
2015-11-07,(18) Houston,Cincinnati,W,33,30
2015-11-14,(16) Houston,  Memphis,W,35,34
2015-11-27,(21) Houston,  Navy,W,52,31
2015-12-05,(17) Houston,  Temple,W,24,13
2016-09-10,(6) Houston,Lamar,W,42,0
2016-09-29,(6) Houston,Connecticut,W,42,14
2016-10-15,(13) Houston,Tulsa,W,38,31
2016-10-29,Houston,UCF,W,31,24
2016-11-12,Houston,Tulane,W,30,18
2016-11-17,Houston,  Louisville,W,36,10
2017-09-16,Houston,Rice,W,38,3
2017-09-23,Houston,Texas Tech,L,24,27
2017-10-07,Houston,SMU,W,35,22
2017-10-19,Houston,  Memphis,L,38,42
2017-11-04,Houston,East Carolina,W,52,27
2017-11-24,Houston,Navy,W,24,14
