scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2010-01-03 18:02:38,HOU,34.0,NE,27.0,HOU
2010-09-12 17:02:50,HOU,34.0,IND,24.0,HOU
2010-09-26 17:03:12,HOU,13.0,DAL,27.0,DAL
2010-10-10 17:03:05,HOU,10.0,NYG,34.0,NYG
2010-10-17 17:03:31,HOU,35.0,KC,31.0,HOU
2010-11-07 18:02:28,HOU,23.0,SD,29.0,SD
2010-11-28 18:02:39,HOU,20.0,TEN,0.0,HOU
2010-12-14 01:40:41,HOU,28.0,BAL,34.0,BAL
2011-01-02 21:16:48,HOU,34.0,JAC,17.0,HOU
2011-09-11 17:05:39,HOU,34.0,IND,7.0,HOU
2011-10-02 17:03:06,HOU,17.0,PIT,10.0,HOU
2011-10-09 17:02:25,HOU,20.0,OAK,25.0,OAK
2011-10-30 17:02:39,HOU,24.0,JAC,14.0,HOU
2011-11-06 18:03:11,HOU,30.0,CLE,12.0,HOU
2011-12-04 18:03:45,HOU,17.0,ATL,10.0,HOU
2011-12-18 18:03:44,HOU,13.0,CAR,28.0,CAR
2012-01-01 18:02:28,HOU,22.0,TEN,23.0,TEN
2012-09-09 17:02:56,HOU,30.0,MIA,10.0,HOU
2012-09-30 17:02:49,HOU,38.0,TEN,14.0,HOU
2012-10-15 00:28:01,HOU,24.0,GB,42.0,GB
2012-10-21 17:02:23,HOU,43.0,BAL,13.0,HOU
2012-11-04 18:02:15,HOU,21.0,BUF,9.0,HOU
2012-11-18 18:02:39,HOU,43.0,JAC,37.0,HOU
2012-12-16 18:02:23,HOU,29.0,IND,17.0,HOU
2012-12-23 18:03:28,HOU,6.0,MIN,23.0,MIN
2013-09-15 17:03:07,HOU,30.0,TEN,24.0,HOU
2013-09-29 17:03:12,HOU,20.0,SEA,23.0,SEA
2013-10-13 17:03:21,HOU,13.0,STL,38.0,STL
2013-11-04 01:30:49,HOU,24.0,IND,27.0,IND
2013-11-17 18:03:01,HOU,23.0,OAK,28.0,OAK
2013-11-24 18:02:41,HOU,6.0,JAC,13.0,JAC
2013-12-01 18:02:36,HOU,31.0,NE,34.0,NE
2013-12-22 18:02:36,HOU,13.0,DEN,37.0,DEN
2014-09-07 17:03:25,HOU,17.0,WAS,6.0,HOU
2014-09-28 17:02:20,HOU,23.0,BUF,17.0,HOU
2014-10-10 00:26:08,HOU,28.0,IND,33.0,IND
2014-11-02 18:02:31,HOU,21.0,PHI,31.0,PHI
2014-11-23 18:02:41,HOU,13.0,CIN,22.0,CIN
2014-11-30 18:02:35,HOU,45.0,TEN,21.0,HOU
2014-12-21 18:02:45,HOU,25.0,BAL,13.0,HOU
2014-12-28 18:02:55,HOU,23.0,JAC,17.0,HOU
2015-09-13 17:02:47,HOU,20.0,KC,27.0,KC
2015-09-27 17:02:43,HOU,19.0,TB,9.0,HOU
2015-10-09 00:26:16,HOU,20.0,IND,27.0,IND
2015-11-01 18:02:33,HOU,20.0,TEN,6.0,HOU
2015-11-22 18:02:42,HOU,24.0,NYJ,17.0,HOU
2015-11-29 18:02:52,HOU,24.0,NO,6.0,HOU
2015-12-14 01:30:55,HOU,6.0,NE,27.0,NE
2016-01-03 18:02:35,HOU,30.0,JAC,6.0,HOU
2016-09-11 17:00:00,HOU,23.0,CHI,14.0,HOU
2016-09-18 17:00:00,HOU,19.0,KC,12.0,HOU
2016-10-02 17:00:00,HOU,27.0,TEN,20.0,HOU
2016-10-17 00:30:00,HOU,26.0,IND,23.0,HOU
2016-10-30 17:00:00,HOU,20.0,DET,13.0,HOU
2016-11-27 18:00:00,HOU,13.0,SD,21.0,SD
2016-12-18 18:00:00,HOU,21.0,JAC,20.0,HOU
2016-12-25 01:25:00,HOU,12.0,CIN,10.0,HOU
2017-09-10 17:00:00,HOU,7.0,JAC,29.0,JAC
2017-10-01 17:00:00,HOU,57.0,TEN,14.0,HOU
2017-10-09 00:30:00,HOU,34.0,KC,42.0,KC
2017-10-15 17:00:00,HOU,33.0,CLE,17.0,HOU
2017-11-05 18:00:00,HOU,14.0,IND,20.0,IND
2017-11-19 18:00:00,HOU,31.0,ARI,21.0,HOU
2017-12-10 18:00:00,HOU,16.0,SF,26.0,SF
2017-12-25 21:30:00,HOU,6.0,PIT,34.0,PIT
