full_date,home_team,home_score,away_team,away_score,season
2011-10-30,Philadelphia Union,         1,Houston Dynamo,2 ,plo
2011-11-03,Houston Dynamo,          1,Philadelphia Union,0 ,plo
2011-11-06,Sporting Kansas City,          0,Houston Dynamo,2,plo
2011-11-20,Los Angeles Galaxy,        1,Houston Dynamo,0,plo
2012-10-31,Chicago Fire,          1,Houston Dynamo,2 ,plo
2012-11-04,Houston Dynamo,        2,Sporting Kansas City,0 ,plo
2012-11-07,Sporting Kansas City,         1,Houston Dynamo,0 ,plo
2012-11-11,Houston Dynamo,         3,Washington D.C. United,1,plo
2012-11-18,Washington D.C. United,       1,Houston Dynamo,1,plo
2012-12-01,Los Angeles Galaxy, 3,Houston Dynamo,1 ,plo
2013-10-31,Houston Dynamo,        3,Montreal Impact,0 ,plo
2013-11-03,Houston Dynamo,    2,New York Red Bulls,2 ,plo
2013-11-06,New York Red Bull,     1,Houston Dynamo,1 ,plo
2013-11-09,Houston Dynamo,         0,Sporting Kansas City,0 ,plo
2013-11-23,Sporting Kansas City,      2,Houston Dynamo,1 ,plo
2017-10-26,Houston Dynamo,1,Kansas City,0,plo
2017-10-30,Houston Dynamo,0,Portland Tumbers,0,plo
2017-11-05,Portland Tumbers,1,Houston Dynamo,2,plo
2017-11-21,Houston Dynamo,0,Seattle,2,plo
2017-11-30,Seattle,3,Houston Dynamo,0,plo
